sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
SR,0.992305308,0.614109328,0.630360407,0.403153512,0.436389621,0.551485402,0.554157038,0.391882347,0.329193572,0.663092868,0.551485402,0.405305158,0.351891527,0.5733592,0.505538961,0.781003621,0.45132429,0.430688325,0.37737413,0.366703975,0.65963652,0.430538161,0.351891527,0.610705374,0.423135857,0.490781688,0.531563208,0.436389621,0.65963652,0.531563208,0.652899936,0.383812011,0.51509955,0.626265748,0.529482881
NH4,5.351912671,2.66050396,1.286021654,0.664494304,1.211361622,1.262398475,6.685280411,4.745704886,0.99734928,1.283695137,1.262398475,4.985921343,1.589230625,0.938915886,2.356304968,1.113317365,2.544771616,0.934466437,0.664540754,2.123081884,0.862728707,2.760295058,1.310164325,0.801212908,1.046007764,1.327228354,3.198895906,1.101671583,0.796304048,1.336387934,1.538648438,2.370692015,0.985942588,0.7266913,2.151828013
NO3 ,125.7313284,67.19314156,143.0556634,20.82529734,23.06813612,63.33773178,58.47963736,25.85510154,9.10656215,18.81701968,63.33773178,38.40089744,45.60524448,43.0667704,23.9868565,105.6771069,36.26675948,27.35311872,4.05667892,17.43768766,89.35468088,49.33300258,9.419892304,7.045962732,15.69852864,31.05891612,62.20001286,25.34644104,4.375757124,20.89387608,66.09805542,48.42517408,25.1288857,4.959902002,17.16634796
SOC,24.49986895,21.67714768,23.42148371,21.35531528,23.61698907,22.54638377,25.27022231,26.46389342,26.53423344,25.78534333,22.54638377,21.1977559,22.02782148,22.96602056,21.11854849,22.32723741,18.87001122,19.6997797,19.61803532,20.7706045,22.77431809,20.54530499,22.39853598,21.47432761,19.62494095,18.38213901,16.82723917,17.0505889,18.49544275,18.13127785,21.13732959,18.00320407,17.95970287,20.97779881,20.52189555
TN ,2.249712109,1.855471076,2.122394044,1.865916022,2.039259255,2.112131231,2.142718852,2.21792487,2.20878778,2.214100943,2.112131231,1.883426935,1.997147566,2.058124542,1.949783751,2.116306114,1.734135248,1.848764841,1.832655414,1.919276236,2.001581397,1.678720287,1.866987797,1.802071706,1.885091158,1.743235435,1.507238306,1.555669933,1.676018677,1.702477825,1.935301173,1.56299677,1.555883272,1.846293889,1.755873596
ST,30.9,23.8,27.9,23.2,22.6,28.8,25.2,29.8,25.7,24.6,28.8,24,28.4,26.2,24.7,33.6,24,28.7,25.2,23.1,25.1,24.5,26.3,22.5,20.1,27.8,24,26.5,21.6,20.4,27.5,25.4,26.7,21.2,21.4
WFPS,28.56010131,22.6100802,31.11011035,43.52015437,36.72013025,20.17665327,7.555431744,15.42567314,46.1196146,45.80480495,20.17665327,18.37223712,26.5741287,48.39116028,55.2807492,24.65872339,9.733706602,17.84512877,39.25928329,53.37315787,29.87919463,24.01006711,32.90268456,35.2147651,60.29194631,30.13652175,13.17344963,22.19636033,43.49042959,54.67883886,27.03910074,20.45265312,29.11903156,49.57168469,60.14466638
pH,5.27,5.72,5.42,6.28,5.9,6.3,5.24,5.39,5.71,5.7,6.3,5.27,5.9,5.63,6.14,5.38,5.72,6.14,6.32,5.82,5.48,5.5,5.94,6.22,5.91,5.3,5.18,5.32,6.01,5.71,5.34,5.38,5.58,6.46,6.14
GMR,5.408434255,1.525688613,1.945279256,2.166313262,4.099929313,7.426747601,5.601659088,6.736565665,3.874372443,2.079693351,7.426747601,3.249766207,5.131803676,1.374205347,2.346405573,5.159425419,1.88939064,0.808019926,2.483149613,2.404251061,1.363561669,1.151611882,2.503234362,3.78990816,2.0770353,5.149874274,2.660536666,1.950045155,3.087264432,3.87936566,2.52566275,1.963099957,2.048155192,5.634421372,1.741391093
GNR,15.6378262,26.12354059,13.6779029,7.930087096,8.963683051,35.16456376,7.629970057,9.58780591,2.124418534,9.189619829,35.16456376,6.673679849,5.851704441,5.323428737,15.29930349,8.847134763,18.04490755,19.97396239,0.635421823,3.53215061,6.352674766,4.662794846,8.985725937,4.747782175,0.2025521,8.837582795,2.088443667,11.48353126,1.743714575,12.50200443,6.611592765,25.27864501,1.216358675,1.901354358,0.556614144
Fe redox,2.514435343,1.134435822,0.633537759,0.918522117,1.200039518,0.83667,1.031694144,0.50050171,0.392740124,2.515546933,0.83667,1.328825361,0.378630913,0.471335392,2.087050782,1.973141861,1.544848316,0.523643159,0.984089123,1.450875341,1.238291354,0.25908904,0.858479573,0.370784354,1.004212626,1.065670558,0.126624662,0.600703288,0.134852954,0.546334287,2.185877347,0.608490075,0.48824437,0.321909378,2.04407457
DOC,132.1822845,71.62908026,82.17524544,20.225334,51.30118148,58.38961126,58.84073994,27.81064038,17.76390305,65.32564752,58.38961126,25.21548156,47.54693776,38.979031,62.83821768,127.8672343,37.06829614,42.92224322,24.43421226,28.07154916,97.79029614,33.21220408,13.08054583,17.8317811,31.81662436,60.43139616,47.97284326,34.8904207,37.0468652,79.81028496,95.81407078,18.22823809,44.84634164,13.66917495,38.06897666
MBC,189.3879107,211.273513,242.1461224,77.41254184,101.0978553,171.7698669,132.5446035,320.1544152,94.7576373,131.2828034,171.7698669,139.6243847,141.0484645,141.6948207,123.1904971,115.9147862,180.6303577,127.8642022,126.5873353,96.665666,60.34006012,127.1786522,101.170579,50.57087696,148.1074924,127.1786522,131.1015346,81.01888204,83.30518126,67.9876957,101.170579,152.5666012,4.168719002,70.69521694,99.37373224
POC,2.446485266,1.247596364,1.889042659,1.199322422,1.67554371,2.048215831,1.3675364,2.001079753,2.234520734,2.699897654,2.585045828,1.269241046,2.240293154,2.389513914,1.843278683,3.845299587,1.654148262,1.778021582,1.932539285,2.102650613,4.320939938,2.163613594,2.370473377,2.740778039,2.107739176,3.599832708,1.815747598,1.940877721,2.572935493,1.783473465,3.165680682,1.557274289,1.795942002,2.284753873,2.581327021
MAOC,22.86,20.02955132,21.53244105,20.15599286,21.94144536,20.49816794,23.90268591,24.46281367,24.29971271,23.08544568,19.56133794,20.92851485,20.78752833,21.57650665,19.87526981,18.48193782,18.21586296,18.92175812,18.68549603,19.66795389,18.15337815,18.3816914,20.0280626,18.73354957,17.51720177,14.7823063,15.01149157,15.10971118,15.92250726,16.34780438,17.97164891,16.44592978,16.16376087,18.69304494,17.94056853
