sample,CO2_flux,NH4,NO3 ,SOC,TN ,ST,WFPS,pH,Production,Reduction,GMR,GNR,Nitrification_N2O_flux,Denitrification_N2O_flux,Fe_redox,DOC,MBC,POC
1,0.622853009,3.178479263,54.6957638,29.21952705,2.591344336,30.3,27.98632366,5.21,1.179075093,0.149831522,4.161459898,16.51068723,9.554451209,8.531194474,0.672374338,49.20924124,303.2921764,1.882974086
2,0.573510917,7.066475391,57.48609608,26.55938294,2.183616847,24.9,26.48705633,5.41,0.19187046,0.09821312,6.396401473,15.36994394,0.288913016,0.259378539,0.536184184,59.99259134,165.084501,1.213233152
3,0.539093107,1.19078991,28.81893754,28.76405455,2.359976571,28.8,36.31558666,5.29,0.4714563,0.300879104,2.727316601,10.15750483,0.567164449,0.236804963,0.642232812,52.92455122,127.2548825,1.600487658
4,0.569822167,0.847593061,17.16352891,27.96730679,2.314233252,23.2,42.64582654,5.6,0.403130996,0.034915001,3.969880833,5.921368681,0.390210633,0.225628591,1.396588836,17.34077753,146.8096581,1.27026141
5,0.316925743,2.569953447,43.25934114,27.54294112,2.289831304,22.7,44.64484966,5.41,0.982164121,0.109482623,3.646377954,21.9033365,1.324382954,0.286600717,0.703484657,45.80745572,58.53159168,1.387094321
6,0.609466515,6.302712644,51.29253256,28.13565846,2.519948559,32.5,32.87625856,5.09,0.618397578,0.29687619,16.23278668,27.31185445,0.815704363,0.577638254,1.058779218,44.24571674,184.1745556,1.622574795
7,0.386828221,7.976933348,45.87011886,26.11326654,2.099395197,25.9,12.51634209,5.45,0.38062472,0.325695017,5.903307345,2.944417432,0.457333785,0.436964448,1.258480464,46.25196288,170.8087523,1.045213873
8,0.626265748,1.972375431,50.53884352,25.1893898,2.060907007,27.7,20.86057015,5.38,1.053930208,0.250946447,4.086930145,19.43022926,0.406533771,0.240239401,0.644070288,49.66747758,159.5957346,1.040784455
9,0.448784711,0.877466732,23.92542168,26.60433043,2.207558539,22.9,40.38606382,5.55,0.155615394,0.063411688,3.881482552,0.795734347,0.400102761,0.273790905,0.56350712,21.01658412,110.2016364,1.730850363
10,0.28076992,1.327909154,74.2902297,24.79408917,2.115863291,21.2,32.54248944,5.25,2.077995125,0.163705936,1.651612897,9.827070303,0.681444576,0.393666794,0.617205488,44.71693932,126.964387,1.476887509
11,0.648778933,1.341036107,80.59880468,18.38213901,1.743235435,28.8,30.84771755,5.21,1.450098719,1.02953797,3.827532168,48.73647551,1.70233436,1.887521319,2.363943444,72.79690156,126.0852313,2.805494392
12,0.403153512,2.193735873,20.76356666,16.82723917,1.507238306,25.5,18.60922091,5.77,0.214718194,0.118982612,1.744950822,0.956580077,0.112292281,0.040122496,1.179243902,22.70595148,195.8421747,1.024066819
13,0.454840778,1.365372212,34.72170326,17.0505889,1.555669933,28.5,26.99175285,5.85,0.18701346,0.046156891,3.858066374,16.48349359,0.136480788,6.492139306,0.348085232,41.00050886,181.3303888,1.610859234
14,0.330470586,0.878475625,6.373402576,18.49544275,1.676018677,26.5,41.07440652,6.35,0.094039968,0.062253083,4.169882243,1.274225041,0.699567729,0.194956059,0.914879504,9.477483624,123.7834653,1.786075512
15,0.532740374,1.049474751,15.12393054,18.13127785,1.702477825,24.8,35.20663416,6.52,0.563452091,0.114071401,2.735809033,2.416904167,0.446017118,0.091661462,0.808824457,29.88802124,94.97158344,1.191214609
16,0.781003621,0.886462138,34.22934154,19.12301154,1.846883501,25,28.12471357,5.16,1.924819392,0.478729277,2.703028166,4.57401219,12.08505232,16.7979088,1.957543637,50.10615306,166.4640705,1.455059954
17,0.450586003,2.363101452,32.84070588,16.20395636,1.495612051,24,6.757236376,5.13,0.289788133,0.185897947,1.33986881,24.4009742,0.237545817,0.127947476,0.139642858,35.32507,161.1834543,0.964292415
18,0.373781034,1.320381254,21.553842,17.35350228,1.582703066,26.4,15.88863689,5.21,0.480246743,0.245060883,4.835344009,22.5271962,0.568180389,0.586449807,0.98375831,55.69156634,44.72906324,1.021729339
19,0.580581347,0.830479452,3.611372824,17.3993462,1.626249674,22,51.68372688,5.42,0.263613488,0.104514328,4.348487666,2.568553369,0.112120994,0.840898173,0.846746211,13.70386139,76.88607494,1.747547926
20,0.394148042,1.365370909,16.87694232,17.15505241,1.604600817,20.3,55.88417111,5.39,1.29319796,0.072343335,2.815815924,6.943626918,0.178266201,1.809315087,1.949674655,45.62287524,49.99893422,1.105372884
21,0.84635723,1.169476707,48.78167158,15.80649687,1.508258246,30.8,31.70683752,5.54,1.923349549,0.704635256,4.759069419,13.19667607,1.016702816,0.964242555,1.027921499,61.60456884,159.2153152,2.243632291
22,0.427105852,2.997623338,28.62052312,13.36856917,1.267251258,25.6,15.38986851,5.8,0.176327959,0.065756379,2.264745146,2.040030986,0.114063147,0.033496864,0.952027996,30.71981588,106.3652465,1.302126657
23,0.37737413,1.452816313,5.75390803,14.00124837,1.322825362,28.8,24.66087363,5.79,0.184894038,0.029989738,1.138934949,7.634684156,0.294834732,0.219052096,0.37882157,17.92596048,77.8362568,1.568645274
24,0.377015192,1.766333701,5.807684392,14.25896445,1.351971569,21.5,34.30271896,6.06,0.265459215,0.142246523,6.534890596,2.961934833,0.081203248,3.107627367,2.31249151,16.80567028,64.0755978,1.827751335
25,0.413641088,1.159253342,13.93628191,14.25142735,1.339298201,21.2,33.37561845,5.99,0.620601196,0.099238185,3.182364452,0.907026659,0.238882457,1.644259122,1.198125339,59.78564884,68.60375432,1.350527068
26,0.973237076,1.11269084,47.29309552,18.53941004,1.805906236,30.5,26.9569376,5.77,1.105693234,0.542854303,6.052974651,6.073143418,1.506345912,7.88643078,0.536666197,75.84242236,65.95472138,2.644036935
27,0.505538961,3.042437161,40.79653356,15.26853435,1.447791149,23.8,17.32945988,6.11,0.237470445,0.118903736,3.548652737,6.702454118,0.301190141,0.060254849,0.22526847,43.26932696,119.6744669,1.320929778
28,0.351541726,0.904506791,2.65365146,16.15638745,1.52791551,28.3,26.08171235,6.32,0.210605692,0.073062787,1.159622699,3.100283999,0.032098078,1.418461195,0.451539814,12.69882886,27.99109884,0.574391691
29,0.28076992,0.86210768,3.23191064,17.15606275,1.622775291,21.4,49.36270391,6.41,0.108123442,0.027588535,3.110669701,1.534334581,0.162491028,0.700406282,0.285259888,4.657074122,32.91018368,1.082472025
30,0.623310357,2.240484127,14.63371533,17.85752271,1.66682985,21,42.01081184,6.26,1.153907172,0.261655124,7.443413399,4.225809656,1.651683465,12.57295365,1.663053727,43.22854126,116.0642947,0.915252856
31,0.733692031,0.810780581,46.41584198,18.23425013,1.714909649,29.3,28.54310872,5.69,0.843514753,0.725597157,1.791770538,16.00180478,0.143489118,0.15725089,2.564359784,49.68017252,119.6744669,1.39182857
32,0.391882347,2.53545687,19.46358451,15.42779127,1.414148994,24.6,19.96266499,5.6,0.532437872,0.435938252,1.49506747,17.39208022,0.057511779,0.015396074,1.367015922,20.6292934,128.7229461,0.77812299
33,0.46723799,0.86297423,13.58644861,16.37853471,1.547522405,26.6,28.71821981,6.08,0.538645518,0.074245409,1.858499322,0.230920246,0.356660115,0.194728705,0.429201956,58.80894166,10.60124276,1.769714878
34,0.592467236,0.744532708,3.220252084,17.05636296,1.607851702,21.6,38.34933012,6.14,0.318609769,0.17210845,3.093739437,2.936617748,0.165587711,1.838472511,0.363310336,9.27247468,34.58635382,1.813256338
35,0.514066103,0.958004341,13.13795533,16.79107442,1.582769099,21,48.8559959,6.11,1.739946763,0.317718675,2.322684544,1.630345952,0.231911859,0.70761026,0.705107746,61.56342258,46.93888176,1.585547739
